primary_cell_index,mutation_rate,area_reference,interaction_feedback,master_seed,replicate_index,calibration_seed,h1_resolution_supported,source_prepared,anchor_barrier,patch_count,patch_area,theoretical_k_fragment,theoretical_k_above_four,outcome_seed,projection_supported,final_interaction_mean,final_effective_size_mean,realised_high_trait_mass_mean,potential_high_trait_viable,realised_high_trait_persists,h_alpha,h_gamma
0,0.1,0.8,6.0,20260820,16,2042866507,True,True,1.5400480876065283,2,2.0,15.0,True,1507149684,True,0.00015174032322996545,15.6,0.1730769230769231,False,True,0.3829344432882414,0.3829344432882414
0,0.1,0.8,6.0,20260820,16,2042866507,True,True,1.5400480876065283,3,1.3333333333333333,10.0,True,1507149785,True,0.00011878814316948834,10.2,0.0784313725490196,False,True,0.3766666666666666,0.42
0,0.1,0.8,6.0,20260820,16,2042866507,True,True,1.5400480876065283,4,1.0,7.5,True,1507149886,True,0.00012363506410777744,7.949999999999999,0.20604395604395603,False,True,0.43161601488542145,0.4373239254447827
0,0.1,0.8,6.0,20260820,16,2042866507,True,True,1.5400480876065283,6,0.6666666666666666,5.0,True,1507150088,True,0.00011430954764646188,5.3999999999999995,0.1111111111111111,False,True,0.38016528925619836,0.47750229568411384
0,0.1,0.8,6.0,20260820,16,2042866507,True,True,1.5400480876065283,8,0.5,3.75,False,1507150290,True,0.00011344695504074635,4.2,0.25,False,True,0.34375,0.4921875
0,0.1,0.8,6.0,20260820,16,2042866507,True,True,1.5400480876065283,12,0.3333333333333333,2.5,False,1507150694,True,0.00010448728885201508,3.0,0.13333333333333333,False,True,0.29166666666666663,0.36072530864197533
0,0.1,0.8,6.0,20260820,16,2042866507,True,True,1.5400480876065283,16,0.25,1.875,False,1507151098,True,0.00010517492906475402,2.3999999999999995,0.171875,False,True,0.29000000000000004,0.3621875
0,0.1,0.8,6.0,20260820,17,2042866608,False,False,,1,4.0,30.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,17,2042866608,False,False,,2,2.0,15.0,True,,,,,,,,,
0,0.1,0.8,6.0,20260820,17,2042866608,False,False,,3,1.3333333333333333,10.0,True,,,,,,,,,
